Mês;T (°C) ;P (mm);ETP (mm);ARM (mm);ETR (mm);DEF (mm);EXC (mm);Cidade
 Ago ;23,7;136;94;100;94;0;42;Remanso
 Set ;24,2;112;99;100;99;0;13;Remanso
 Out ;25;122;117;100;117;0;5;Remanso
 Nov ;25,5;118;123;95;123;0;0;Remanso
 Dez ;26;132;138;90;137;0;0;Remanso
 Jan ;26,5;111;145;62;136;9;0;Salvador
 Fev ;26,6;121;135;54;129;6;0;Salvador
 Mar ;26,7;145;147;53;146;1;0;Salvador
 Abr ;25,2;322;114;100;114;0;161;Salvador
 Mai ;25,2;325;114;100;114;0;211;Salvador
 Jun ;24,3;351;96;100;96;0;255;Salvador
 Jul ;23,6;204;90;100;90;0;114;Salvador
 Ago ;23,7;136;92;100;92;0;44;Salvador
 Set ;24,2;112;99;100;99;0;13;Salvador
 Out ;25;122;117;100;117;0;5;Salvador
 Nov ;25,5;118;124;94;124;0;0;Salvador
 Dez ;26;132;140;87;139;1;0;Salvador
 Jan ;24,6;161;115;100;115;0;39;Santa Rita de Cássia
 Fev ;24,4;140;104;100;104;0;36;Santa Rita de Cássia
 Mar ;24,4;155;112;100;112;0;43;Santa Rita de Cássia
 Abr ;24,2;101;103;98;103;0;0;Santa Rita de Cássia
 Mai ;23,7;20;98;45;73;25;0;Santa Rita de Cássia
 Jun ;22,1;4;75;22;27;48;0;Santa Rita de Cássia
 Jul ;21,1;1;68;11;12;56;0;Santa Rita de Cássia
 Ago ;23;1;89;5;8;81;0;Santa Rita de Cássia
 Set ;25,1;19;114;2;22;92;0;Santa Rita de Cássia
 Out ;26,1;70;136;1;71;65;0;Santa Rita de Cássia
 Nov ;25,3;160;123;38;123;0;0;Santa Rita de Cássia
 Dez ;24,7;175;120;93;120;0;0;Santa Rita de Cássia
Jan ;24,9;102;120;0;102;18;0;Senhor do Bonfim
 Fev ;24,6;118;107;11;107;0;0;Senhor do Bonfim
 Mar ;24,7;109;118;10;110;8;0;Senhor do Bonfim
 Abr ;23,7;96;99;10;96;2;0;Senhor do Bonfim
 Mai ;23,1;64;93;8;66;26;0;Senhor do Bonfim
 Jun ;21,5;63;72;7;64;8;0;Senhor do Bonfim
 Jul ;20,7;54;66;6;55;11;0;Senhor do Bonfim
 Ago ;21,5;34;75;4;36;39;0;Senhor do Bonfim
 Set ;22,6;34;85;2;36;50;0;Senhor do Bonfim
